City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
18,San Patricio,US,82.49,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
20,Diu,IN,82.27,overcast clouds,20.7141,70.9822,Hotel Relax Inn
29,Butaritari,KI,83.88,clear sky,3.0707,172.7902,Isles Sunset Lodge
30,Georgetown,MY,87.73,scattered clouds,5.4112,100.3354,Cititel Penang
40,Airai,TL,81.93,scattered clouds,-8.9266,125.4092,Juvinal Martin
41,Port Blair,IN,81.09,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
43,Kavieng,PG,85.37,broken clouds,-2.5744,150.7967,Nusa Island Retreat
48,Hithadhoo,MV,82.83,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Alice Springs,AU,90.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
70,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Kirakira,SB,81.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
88,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
94,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
95,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
106,Atar,MR,89.47,clear sky,20.5169,-13.0499,Oumou Elghoura
123,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
131,Tawau,MY,85.66,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
136,Road Town,VG,81.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
146,Sojitra,IN,80.73,overcast clouds,22.55,72.7167,Gayatri House
148,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
159,Namatanai,PG,85.35,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
174,Cockburn Town,TC,82.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
181,Weligama,LK,81.3,overcast clouds,5.9667,80.4167,Weligama Bay Resort
194,Dingle,PH,87.28,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
195,Balabac,PH,85.46,broken clouds,7.9868,117.0645,Sing and Swing Lodge
212,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,Redface Studios Meublés
214,Katobu,ID,89.56,broken clouds,-4.9408,122.5276,La Ode Husein
215,Victoria,HK,90.32,clear sky,22.2855,114.1577,Mini Hotel Central
223,Zhuzhou,CN,96.6,clear sky,27.8333,113.15,Feifan Chengpin Hotel Shanmutang
245,Jinxiang,CN,83.43,clear sky,27.4327,120.6062,Wolong Village
246,Bilma,NE,81.5,clear sky,18.6853,12.9164,Expeditions Ténére voyages
250,Hambantota,LK,82.74,broken clouds,6.1241,81.1185,Bungalow 63
264,Talavera,PH,88.9,few clouds,15.6167,120.9333,R&G's Resort
273,Paracuru,BR,80.62,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
274,Port Keats,AU,87.48,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
283,Tezu,IN,89.94,scattered clouds,27.9167,96.1667,Circuit House
290,Padang,ID,84.25,light rain,-0.9492,100.3543,Mercure Padang
292,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
293,Chenzhou,CN,93.0,broken clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
297,Bandarbeyla,SO,81.77,scattered clouds,9.4942,50.8122,JABIR HOTEL
