City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Whitecourt,CA,54.1502,-115.6855,52.2,53,100,3.36,overcast clouds
1,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,40,0,20.71,clear sky
2,Ushuaia,AR,-54.8,-68.3,35.24,94,88,2.37,light rain
3,Okhotsk,RU,59.3833,143.3,45.64,89,100,9.28,light rain
4,Taoudenni,ML,22.6783,-3.9836,91.04,9,5,10.16,clear sky
5,Warrington,GB,53.3925,-2.5802,51.87,89,99,1.99,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,72.84,76,51,21.36,broken clouds
7,Goderich,CA,43.7501,-81.7165,60.91,74,100,12.28,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,54.12,80,3,5.44,clear sky
9,Kawalu,ID,-7.3817,108.2082,79.92,70,88,5.86,overcast clouds
10,Zyryanka,RU,65.75,150.85,33.51,47,100,17.43,overcast clouds
11,Katsuura,JP,35.1333,140.3,75.31,64,89,15.43,overcast clouds
12,Tasiilaq,GL,65.6145,-37.6368,35.76,55,8,6.69,clear sky
13,Kisangani,CD,0.5167,25.2,68.0,99,96,0.96,overcast clouds
14,Busselton,AU,-33.65,115.3333,67.05,62,100,7.94,overcast clouds
15,Ponta Do Sol,PT,32.6667,-17.1,72.23,72,52,2.91,broken clouds
16,Bereda,ES,43.2686,-7.5406,54.41,100,100,1.61,light rain
17,Castro,BR,-24.7911,-50.0119,61.39,80,14,2.89,few clouds
18,San Patricio,US,28.017,-97.5169,82.49,78,53,9.04,broken clouds
19,Kushiro,JP,42.975,144.3747,61.07,76,92,10.51,overcast clouds
20,Diu,IN,20.7141,70.9822,82.27,78,87,3.36,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,54.48,49,87,4.47,overcast clouds
22,Cururupu,BR,-1.8283,-44.8683,75.88,90,19,4.45,few clouds
23,Esperance,AU,-33.8667,121.9,58.64,74,90,15.05,overcast clouds
24,Nanortalik,GL,60.1432,-45.2371,34.83,69,0,4.94,clear sky
25,Camacha,PT,33.0833,-16.3333,68.76,78,40,6.91,scattered clouds
26,Touros,BR,-5.1989,-35.4608,76.1,85,74,14.76,broken clouds
27,Kostomuksha,RU,64.571,30.5767,40.98,92,19,4.72,few clouds
28,Hilo,US,19.7297,-155.09,79.29,81,90,12.66,overcast clouds
29,Butaritari,KI,3.0707,172.7902,83.88,74,5,15.88,clear sky
30,Georgetown,MY,5.4112,100.3354,87.73,70,40,11.5,scattered clouds
31,Severo-Kurilsk,RU,50.6789,156.125,51.71,76,47,10.96,scattered clouds
32,Khatanga,RU,71.9667,102.5,32.85,59,99,8.34,overcast clouds
33,Bluff,NZ,-46.6,168.3333,54.81,68,86,15.93,overcast clouds
34,Vanavara,RU,60.34,102.2797,35.47,85,100,8.97,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,68.74,92,95,6.89,overcast clouds
36,Albany,US,42.6001,-73.9662,67.48,85,100,4.14,overcast clouds
37,Codrington,AU,-38.2667,141.9667,68.16,57,95,4.65,overcast clouds
38,Siirt,TR,37.9326,41.9403,48.34,50,0,0.0,clear sky
39,Klaksvik,FO,62.2266,-6.589,49.12,79,95,23.47,overcast clouds
40,Airai,TL,-8.9266,125.4092,81.93,31,33,2.93,scattered clouds
41,Port Blair,IN,11.6667,92.75,81.09,82,98,6.08,overcast clouds
42,Saskylakh,RU,71.9167,114.0833,29.19,84,21,10.22,few clouds
43,Kavieng,PG,-2.5744,150.7967,85.37,68,67,8.61,broken clouds
44,Tommot,RU,58.9564,126.2925,38.53,97,100,7.18,light rain
45,Cabedelo,BR,-6.9811,-34.8339,75.87,84,72,16.44,broken clouds
46,Constitucion,CL,-35.3333,-72.4167,50.99,54,6,6.17,clear sky
47,Vaini,TO,-21.2,-175.2,77.16,83,40,4.61,scattered clouds
48,Hithadhoo,MV,-0.6,73.0833,82.83,74,99,14.97,overcast clouds
49,Bonnyville,CA,54.2668,-110.735,56.59,58,2,4.56,clear sky
50,Ust-Karsk,RU,52.7011,118.8077,50.61,39,100,4.18,overcast clouds
51,Jamestown,US,42.097,-79.2353,66.29,88,75,1.99,broken clouds
52,Saint-Philippe,RE,-21.3585,55.7679,73.22,76,42,13.0,scattered clouds
53,Drayton Valley,CA,53.2168,-114.9854,59.92,47,70,3.47,broken clouds
54,Cherskiy,RU,68.75,161.3,24.73,95,100,19.64,snow
55,Barrow,US,71.2906,-156.7887,30.22,86,90,10.36,light snow
56,East London,ZA,-33.0153,27.9116,63.54,76,100,15.68,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,46.29,96,1,3.65,clear sky
58,Henties Bay,NA,-22.116,14.2845,55.85,86,100,7.11,overcast clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,26.22,86,21,7.9,few clouds
