City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-09-26 03:45:12,-23.1203,-134.9692,73.85,73,59,16.58
1,Khatanga,RU,2021-09-26 03:45:13,71.9667,102.5,35.02,71,91,13.22
2,Albany,US,2021-09-26 03:45:13,42.6001,-73.9662,59.99,90,100,2.55
3,Punta Arenas,CL,2021-09-26 03:42:17,-53.15,-70.9167,37.51,81,75,8.05
4,Qaanaaq,GL,2021-09-26 03:45:14,77.484,-69.3632,17.29,69,64,7.76
5,Sept-Iles,CA,2021-09-26 03:45:14,50.2001,-66.3821,54.12,97,90,1.01
6,Santa Cruz,BO,2021-09-26 03:41:36,-17.8,-63.1667,74.66,64,2,6.91
7,Dongsheng,CN,2021-09-26 03:45:15,39.8161,109.9776,65.95,60,100,6.24
8,Port Alfred,ZA,2021-09-26 03:45:15,-33.5906,26.891,59.94,81,42,9.62
9,Hermanus,ZA,2021-09-26 03:45:15,-34.4187,19.2345,58.89,86,74,6.08
10,Uruacu,BR,2021-09-26 03:45:16,-14.5247,-49.1408,74.64,70,45,2.82
11,Tuktoyaktuk,CA,2021-09-26 03:45:16,69.4541,-133.0374,33.8,100,90,13.8
12,Airai,TL,2021-09-26 03:45:16,-8.9266,125.4092,80.92,33,82,3.83
13,Mataura,NZ,2021-09-26 03:45:17,-46.1927,168.8643,47.48,85,82,5.32
14,Sinnamary,GF,2021-09-26 03:45:17,5.3833,-52.95,79.57,83,33,9.66
15,Ushuaia,AR,2021-09-26 03:41:30,-54.8,-68.3,37.06,75,75,14.97
16,Orissaare,EE,2021-09-26 03:45:18,58.5592,23.0826,47.97,89,13,9.6
17,Invermere,CA,2021-09-26 03:45:18,50.5167,-116.0354,59.18,62,8,2.73
18,Bubaque,GW,2021-09-26 03:45:19,11.2833,-15.8333,82.02,76,100,6.26
19,Vaini,TO,2021-09-26 03:45:19,-21.2,-175.2,73.56,88,75,10.36
20,Butaritari,KI,2021-09-26 03:45:20,3.0707,172.7902,82.92,76,27,11.36
21,Okhotsk,RU,2021-09-26 03:45:20,59.3833,143.3,57.18,48,87,9.48
22,Bethel,US,2021-09-26 03:45:21,41.3712,-73.414,62.91,91,1,4.61
23,Thompson,CA,2021-09-26 03:45:21,55.7435,-97.8558,44.76,93,75,4.61
24,Nkawkaw,GH,2021-09-26 03:45:22,6.5512,-0.7662,71.04,99,100,1.57
25,Tiksi,RU,2021-09-26 03:45:22,71.6872,128.8694,34.47,86,100,22.24
26,Narsaq,GL,2021-09-26 03:45:22,60.9167,-46.05,34.02,51,0,5.59
27,Yellowknife,CA,2021-09-26 03:42:40,62.456,-114.3525,42.3,94,40,1.01
28,New Norfolk,AU,2021-09-26 03:45:23,-42.7826,147.0587,56.91,37,6,3.44
29,Namie,JP,2021-09-26 03:45:23,37.4833,141.0,69.96,73,100,5.99
30,Arraial Do Cabo,BR,2021-09-26 03:45:24,-22.9661,-42.0278,70.25,81,100,24.99
31,Saint-Augustin,CA,2021-09-26 03:45:24,51.226,-58.6502,54.93,98,100,17.63
32,Avarua,CK,2021-09-26 03:45:24,-21.2078,-159.775,75.25,78,90,4.61
33,Chuy,UY,2021-09-26 03:45:25,-33.6971,-53.4616,56.44,96,50,1.01
34,Katiola,CI,2021-09-26 03:45:25,8.1333,-5.1,71.06,97,100,3.29
35,Atuona,PF,2021-09-26 03:45:26,-9.8,-139.0333,77.77,76,47,17.92
36,Alamosa,US,2021-09-26 03:45:26,37.4695,-105.87,65.71,31,1,10.36
37,Nhulunbuy,AU,2021-09-26 03:45:27,-12.2333,136.7667,90.21,43,40,13.8
38,Chokurdakh,RU,2021-09-26 03:45:27,70.6333,147.9167,33.15,97,100,14.41
39,Cam Ranh,VN,2021-09-26 03:45:27,11.9214,109.1591,87.76,66,20,9.22
40,Yuzawa,JP,2021-09-26 03:45:28,39.1667,140.5,71.42,67,100,8.16
41,Hilo,US,2021-09-26 03:45:28,19.7297,-155.09,80.33,85,90,9.22
